bird,song
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy E3,bgmy_mwoo_mayy_mgyo_070214.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb 3c,bhmb 013007.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb A,jymz bhmb 6 mar 07.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb A2,jymz bhmb 6 mar 07.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb A3,some bhmb 012407.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb A4,some bhmb 012407.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb A5,some bhmb 012407.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb B,jymz bhmb 6 mar 07.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb B1,bhmb 013007.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb B2,jymz bhmb 6 mar 07.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb B3,jymz bhmb 6 mar 07.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb B4,bhmb 012407.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb B5,bhmb 012407.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb B6,bhmb 013007.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb B7,bhmb 013007.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb C2,jymz bhmb 6 mar 07.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb C3,jymz bhmb 6 mar 07.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb C4,2 jymz bhmb 6 mar 07.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb D,bhmb 013007.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb D1,bhmb 013007.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb D2, bhmb 013007.wav"
bhmb prelim rep display and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bhmb prelim rep display and soundfiles/bhmb E,some bhmb 012407.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw A2,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw A3,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw A5,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw A6,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw B,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw B2,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw B3,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw C,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw C2,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw C3,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw C4,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw C5,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw D,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw D2,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw D3,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw D4,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw D6,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E10,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E11,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E12,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E13,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E14,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E15,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E2,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E3,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E7,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw E9,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw F,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw F2,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw F3,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw F4,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw F5,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw F6,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw G,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw G2,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw G3,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw G4,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw H,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw H2,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw H3,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw H4,bmgw_070528.wav"
bmgw rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmgw rep and soundfiles/bmgw H5,bmgw_070528.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A10,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A12,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A2,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A3,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A4,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A5,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A6,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A7,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A8,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor A9,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B10,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B11,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B2,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B3,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B4,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B5,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B6,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B7,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B8,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor B9,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C10,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C11,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C12,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C13,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C14,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C15,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C2,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C3,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C4,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C5,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C6,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C7,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C8,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor C9,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D10,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D11,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D2,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D3,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D4,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D5,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D6,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D7,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D8,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor D9,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E10,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E11,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E12,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E3,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E4,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E5,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E6,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E8,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor E9,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F10,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F2,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F3,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F4,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F5,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F6,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F7,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F8,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor F9,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor G2,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor G3,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor G4,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor G5,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor G6,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor G7,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor H,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor H2,bmor feb 12.wav"
bmor display and soundfiles done,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bmor display and soundfiles done/bmor H3,bmor feb 12.wav"
